"Nummer";"EAN";"Name";"Einkaufspreis 1";"Endkundenpreis";"Bestand Hauptlager"
"14483";"";"UDANG MAS, krupuk Palembang warna, 65 g";;1.99;0
"14484";"";"NIVO, Krosso Rempeyek Kacang, 200gr";;2.89;
"14485";"";"Srikandi salziges Rengginang";;2.89;
"14486";"";"FINNA, Bawal-Fisch-Krupuk, 400 g";;5.9;
"14487";"";"NYONYA SIOK, Garnelen Krupuk, 500g";;9.5;
"14488";"";"NYONYA SIOK, Fischkrupuk, 500g";;8.5;
"14489";"";"PUSAKA NUSANTARA, Zwiebeln Krupuk, 200g";;3.5;
"14490";"";"PUSAKA NUSANTARA, Gendar Krupuk, 250g";;2.79;
"14491";"";"PUSAKA NUSANTARA, rotes Krupuk, 250g";;2.69;
"14492";"";"PUSAKA NUSANTARA, Nudelnkrupuk, 250g";;2.69;
"14493";"";"PUSAKA NUSANTARA, Rengginang, 200g";;2.69;
"14494";"";"FINNA, Emping Belindjo 400g";;4.59;96
"14495";"";"PUSAKA NUSANTARA, Bandung Krupuk, 250g";;2.69;
"14496";"";"PUSAKA NUSANTARA, Pesta Krupuk, 250g";;2.69;
"14497";"";"INDOSNACK, Dorf Chips unfrittiert spicy 200gr";;3.99;
"14498";"";"RAPINDO, Kroepoek Pelangi unfrittiert";;2.5;
"14499";"";"LUCULLUS, Garnelan crackers Sidoarjo unfrittiert 250gr";;3.5;
"14500";"";"LUCULLUS, krupuk Gendar mit Zwiebelgeschmack 150gr";;2.5;
"14501";"";"RAPINDO, Dorf Chips Gado-Gado";;2.5;
"14502";"";"UDANG MAS, Emping Mlinjo frittiert 110gr";;1.99;
"14503";"";"Nesia, Gendar Special mit knoblauch Geschmack unfrittiert, 200g";;3.5;
"14505";"";"NESIA, Garnelenchips Sidoarjo 6 cm 250 g";;3.57;
"14506";"";"NESIA, Garnelenchips Sidoarjo 6 cm, 250 g";;3.57;
"14507";"";"DUA KELINCI, Nüssen mit geröstetem Mais Geschmack, 80g";;1.19;
"14508";"";"DUA KELINCI, Snack Jagung Marning, 80g";;1.39;
"14509";"";"RAPINDO, Bolu Kukus (sudah siap saji), 550g";;7.49;
"14510";"";"RAPINDO, Koewe Kampoeng Semprit Koekjes, 250g";;2.99;
"14511";"";"M.Y. SAN, Skyflakes crackers, 200g";;1.69;
"14513";"";"KOPIKO, Kaffee Bon-Bon, 150g";;1.99;
"14514";"";"KUSUKA, Cassava Chips mit Spicy Satay, 200g";;2.5;
"14515";"";"DUA KELINCI, Kacang Kulit Garing, 250g";;2.45;
"14516";"";"DUA KELINCI, Hot Nut Rasa Cabe-Oven, 80g";;1.19;
"14517";"";"RAPINDO, Koekoe Matjan, 125g";;2.25;
"14518";"";"RAPINDO, Koewe Kampoeng Asem Bolletjes, 300g";;2.95;
"14519";"";"Nivo, kandierte Yambohne, 2kg";;8.55;
"14520";"";"Nivo, kandierte Salak, 2kg";;8.55;
"14521";"";"SWALLOW SAILING, Erdnusskekse, 136g";;0.9;
"14522";"";"SWALLOW SAILING, Sesamkekse, 136g";;0.99;
"14524";"";"KUSUKA, Cassava Chips mit Sweet & Sour Geschmack, 180g";;2.5;
"14525";"";"KOPIKO, Java Coffee, 10x21g";;3.79;
"14526";"";"KUSUKA, Cassava Chips mit Padang Spicy Prawn Geschmack, 200g";;2.5;
"14527";"";"GLICO, Pocky, 47g";;1.29;
"14528";"";"MORISCA, Schichtkuchen mit Kokos-Geschmack, 365g";;3.5;
"14529";"";"RAPINDO, Cupcakes original from Indonesian, 550g";;9.49;
"14530";"";"RAPINDO, Lapis Legit (sudah siap saji), 500g";;9;
"14531";"";"RAPINDO, Dorf Kuchen Keciput, 275g";;2.49;
"14532";"";"INDOLAN, Gebakken Tempeh, 175g";;2.69;
"14533";"";"NESIA, Dorf Kuchen Sumpia, 150g";;2.74;
