"Artikel-Nr.";"Ean";"Name";"Verkaufte Menge";"Umsatz Brutto";"Tags";"Lieferant";"Hersteller";"Herstellernummer"
"32083";"8995077602405";"TICTAC, Pilus gegrilltes Hähnchen-Knoblauch, 100 g";"488";"478,67";"";" ";"DUA KELINCI";""
"35005";"8992984831713";"KOEPOE-KOEPOE, Aroma Pasta Pandan, 25 ml";"250";"471,67";"";" ";"KOEPOE-KOEPOE";""
"";"null";"null";"394";"467,57";"";" ";"null";"null"
"";"null";"null";"98";"467,31";"";" ";"null";"null"
"32003";"8996001354124";"BENG-BENG, Schokoladenwaffel, 22 g";"1155";"460,96";"";" ";"BENG-BENG";""
"28037";"8927234888261";"NESIA, Dorf Crackers Mie Besar, 250 g";"134";"459,38";"";" ";"NESIA";""
"80005";"8998898280449";"SIDOMUNCUL, Tolak Angin Flu, 12 x 15 ml";"108";"458,35";"";" ";"SIDOMUNCUL";""
"";"null";"null";"169";"457,06";"";" ";"null";"null"
"35053";"011747236737";"SRUUT, Dawet Mehl (Cendol) Pandan, 100 g";"267";"456,85";"";" ";"SRUUT";""
"";"null";"null";"51";"455,50";"";" ";"null";"null"
"21090";"8991818030070";"FINNA, scharfe Chilipaste, 190 g";"121";"452,25";"";" ";"FINNA";""
"32066";"8927234887851";"NESIA, Sumpia Koekjes scharf, 150 g";"172";"450,76";"";" ";"NESIA";""
"";"null";"null";"283";"450,72";"";" ";"null";"null"
"";"null";"null";"1150";"446,20";"";" ";"null";"null"
"21066";"8995899250310";"KOBE, BonCabe Original Chiligewürze lv 10, 50 g";"152";"445,80";"";" ";"KOBE";""
"28070";"";"NESIA, Emping Limpung ( KILOAN ) , 1kg";"55,5";"445,76";"";" ";"NESIA";""
"";"null";"null";"190";"440,25";"";" ";"null";"null"
"";"null";"null";"407";"440,22";"";" ";"null";"null"
"32156";"8996001301142";"ROMA, Coconut Biscuit, 300 g";"215";"440,15";"";" ";"MAYORA";""
"";"null";"null";"273";"437,38";"";" ";"null";"null"
"21061";"8993440100138";"NESIA, Chilipaste (Sambal) Padang, 220 g";"122";"435,07";"";" ";"NESIA";""
"12099";"8801043150620";"NONGSHIM, Shin Ramyun Instantnudeln, 120 g";"394";"434,26";"";" ";"Nongshim";""
"32168";"8995077606182";"DUA KELINCI, Sukro Oven Scharf, 100 g";"248";"433,82";"";" ";"DUA KELINCI";""
"";"null";"null";"369";"433,80";"";" ";"null";"null"
"";"null";"null";"196";"431,50";"";" ";"null";"null"
"28043";"8927122888151";"NESIA, Kroepoek Talie Mas, 250 g";"125";"430,50";"";" ";"NESIA";""
"12022";"8992388121021";"ABC, Intant-Nudeln Curry Geschmack, 60 g";"359";"429,78";"";" ";"ABC";""
"";"null";"null";"116";"427,13";"";" ";"null";"null"
"32065";"8927234887868";"NESIA, Sumpia Koekjes Original, 150 g";"162";"423,48";"";" ";"NESIA";""
"";"null";"null";"237";"418,38";"";" ";"null";"null"
"";"null";"null";"196";"417,75";"";" ";"null";"null"
"12096";"8886350067960";"PRIMA TASTE, CURRY La Mian Nudeln in Curry-Suppe, 178 g";"167";"414,66";"";" ";"PRIMA TASTE";""
"32036";"053314502111";"KUSUKA, Cassava Chips mit Barbeque Geschmack, 180 g";"166";"414,13";"";" ";"KUSUKA";""
